CropNum,T_YLDG (1000ton) ,AREA(ha)
1,0,26199889.4439918
2,0,703322.299419342
3,0,13000538.4687835
4,0,2684340.18675791
5,0,13734454.7517013
6,0,0
7,2864.58867205608,1059846.51710647
8,1869.12606892645,288873.019799482
9,423.1460602096,409822.322142575
10,258.094814868484,190387.228577248
11,180131.796482367,21315983.5843302
12,38803.1191486399,3497710.2589484
13,0,1524335.04810584
14,0,477204.476104567
15,6013.1671266561,2978543.2823107
16,6202.56277050057,1902288.72943584
17,2399.28102467821,609755.417943418
18,148.451027141197,22457.7587364607
19,732.433307518449,312670.659450422
20,608.196696086022,184511.73675688
21,885.057865670108,113225.764319078
22,2839.66644662431,325289.55229302
23,0,0
24,6558.10204576603,1339482.14851993
25,345.280813234243,90396.7056677204
26,6.39747916699571,1343.28846089826
27,11250.7250207073,2059229.69077714
28,2152.29282100459,240300.823543317
29,0,82346.316291522
30,0,25461.9347702968
31,67089.180808109,24236174.2352545
32,6526.39483873826,2073923.55856082
33,16942.8448688639,5246105.03859399
34,1406.03284093856,193234.26546065
35,28666.8104142119,9061978.95486001
36,3654.33186813046,733799.752976558
37,214520.238623996,42385116.7111872
38,18560.3065698207,1582700.96928178
39,39.9711330182317,15904.2454702227
40,0,0
41,0,0
42,0,0
